Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
IMMP,7/17/2024,2.03,2,2.1,-0.014778325,0.034482759,101.85,97.54,99.04,-0.042317133,-0.027589593,1563
NVCR,7/17/2024,19.28,19.11,18.79,-0.008817427,-0.025414938,101.85,97.54,99.04,-0.042317133,-0.027589593,1564
ZLAB,7/17/2024,18.58,18.74,19.08,0.00861141,0.026910657,101.85,97.54,99.04,-0.042317133,-0.027589593,1565
IONS,7/18/2024,47.96,47.33,51.86,-0.013135947,0.081317765,99.8,97.51,100.98,-0.022945892,0.011823647,1566
SNY,7/18/2024,50.21,50.36,53.1,0.002987453,0.057558255,99.8,97.51,100.98,-0.022945892,0.011823647,1567
AGEN,7/18/2024,17.73,7.3,5.965,-0.588268472,-0.66356458,99.8,97.51,100.98,-0.022945892,0.011823647,1568
BCTX,7/18/2024,138.16493,113.99994,115.48494,-0.174899593,-0.164151569,99.8,97.51,100.98,-0.022945892,0.011823647,1569
PHAT,7/18/2024,12.11,11.18,11.28,-0.076796036,-0.068538398,99.8,97.51,100.98,-0.022945892,0.011823647,1570
COCP,7/18/2024,2.26,2.35,2.22,0.039823009,-0.017699115,99.8,97.51,100.98,-0.022945892,0.011823647,1571
TEVA,7/18/2024,16.38,16.34,16.8,-0.002442002,0.025641026,99.8,97.51,100.98,-0.022945892,0.011823647,1572
OCUL,7/18/2024,8,7.75,8.28,-0.03125,0.035,99.8,97.51,100.98,-0.022945892,0.011823647,1573
EDAP,7/19/2024,4.96,5.1,4.65,0.028225806,-0.0625,97.54,98.89,101.54,0.013840476,0.041008817,1574
ADXN,7/22/2024,0.0602,0.062,0.063,0.029900332,0.046511628,97.51,99.76,100.27,0.023074556,0.028304789,1575
JNJ,7/22/2024,154.69,154.24,158.56,-0.002909044,0.025017777,97.51,99.76,100.27,0.023074556,0.028304789,1576
ZYME,7/22/2024,9.78,10.26,10.6,0.049079755,0.083844581,97.51,99.76,100.27,0.023074556,0.028304789,1577
MESO,7/22/2024,7.23,7.55,6.79,0.044260028,-0.060857538,97.51,99.76,100.27,0.023074556,0.028304789,1578
NUVL,7/22/2024,78.96,81.14,79.12,0.027608916,0.002026342,97.51,99.76,100.27,0.023074556,0.028304789,1579
JNJ,7/22/2024,154.69,154.24,158.56,-0.002909044,0.025017777,97.51,99.76,100.27,0.023074556,0.028304789,1580
MIRA,7/22/2024,0.6888,5.01,2.29,6.273519164,2.324622532,97.51,99.76,100.27,0.023074556,0.028304789,1581
BIIB,7/22/2024,226.4,226.63,214.43,0.001015901,-0.052871025,97.51,99.76,100.27,0.023074556,0.028304789,1582
IONS,7/22/2024,47.82,50.61,50.24,0.058343789,0.050606441,97.51,99.76,100.27,0.023074556,0.028304789,1583
IMMP,7/22/2024,1.94,1.9,2.17,-0.020618557,0.118556701,97.51,99.76,100.27,0.023074556,0.028304789,1584
ATOS,7/22/2024,1.34,1.48,1.4,0.104477612,0.044776119,97.51,99.76,100.27,0.023074556,0.028304789,1585
LLY,7/22/2024,857.47,865.97,807.79,0.009912883,-0.057937887,97.51,99.76,100.27,0.023074556,0.028304789,1586
JAGX,7/23/2024,106.75,44,29,-0.587822014,-0.728337237,98.89,99.04,98.99,0.001516837,0.001011225,1587
ADIL,7/23/2024,1.06,1.31,1,0.235849057,-0.056603774,98.89,99.04,98.99,0.001516837,0.001011225,1588
RYTM,7/23/2024,49.78,49.8,47.66,0.000401768,-0.042587384,98.89,99.04,98.99,0.001516837,0.001011225,1589
MRK,7/23/2024,125.69,124.38,115.25,-0.010422468,-0.083061501,98.89,99.04,98.99,0.001516837,0.001011225,1590
ANIX,7/23/2024,3.13,2.89,3.09,-0.076677316,-0.012779553,98.89,99.04,98.99,0.001516837,0.001011225,1591
VIRI,7/23/2024,51.32,49.37,45.8,-0.037996882,-0.107560405,98.89,99.04,98.99,0.001516837,0.001011225,1592
CLRB,7/23/2024,90.60009,73.80007,64.50006,-0.1854305,-0.288079515,98.89,99.04,98.99,0.001516837,0.001011225,1593
MESO,7/23/2024,7.55,8.27,6.47,0.095364238,-0.143046358,98.89,99.04,98.99,0.001516837,0.001011225,1594
PLUR,7/23/2024,5.6,5.7,5.91,0.017857143,0.055357143,98.89,99.04,98.99,0.001516837,0.001011225,1595
REGN,7/23/2024,1069.74,1055.57,1077.8,-0.013246209,0.007534541,98.89,99.04,98.99,0.001516837,0.001011225,1596
MAIA,7/23/2024,3.75,3.7,3.15,-0.013333333,-0.16,98.89,99.04,98.99,0.001516837,0.001011225,1597
ARQT,7/23/2024,9.85,10.2,9.63,0.035532995,-0.022335025,98.89,99.04,98.99,0.001516837,0.001011225,1598
BCAB,7/23/2024,1.74,1.75,1.63,0.005747126,-0.063218391,98.89,99.04,98.99,0.001516837,0.001011225,1599
GILD,7/24/2024,71.17,73.5,76.06,0.032738513,0.068708726,99.76,100.98,99.06,0.01222935,-0.00701684,1600
SGMO,7/24/2024,0.4013,0.56,0.7826,0.39546474,0.950161974,99.76,100.98,99.06,0.01222935,-0.00701684,1601
TLSA,7/24/2024,0.9001,1,1.07,0.110987668,0.188756805,99.76,100.98,99.06,0.01222935,-0.00701684,1602
MRUS,7/24/2024,55.52,54.7,53.04,-0.014769452,-0.044668588,99.76,100.98,99.06,0.01222935,-0.00701684,1603
GMAB,7/24/2024,1910,1904.5,1955,-0.002879581,0.023560209,99.76,100.98,99.06,0.01222935,-0.00701684,1604
SAGE,7/24/2024,13,12,11,-0.076923077,-0.153846154,99.76,100.98,99.06,0.01222935,-0.00701684,1605
BIIB,7/24/2024,224.29,226.03,213.2,0.007757814,-0.049444915,99.76,100.98,99.06,0.01222935,-0.00701684,1606
SNY,7/24/2024,50.43,51.2,51.81,0.015268689,0.027364664,99.76,100.98,99.06,0.01222935,-0.00701684,1607
SONN,7/24/2024,6.816,6.9504,6.28,0.01971831,-0.078638498,99.76,100.98,99.06,0.01222935,-0.00701684,1608
BMRN,7/24/2024,84.43,84.63,84.33,0.002368826,-0.001184413,99.76,100.98,99.06,0.01222935,-0.00701684,1609
RARE,7/24/2024,45.18,45.11,45.02,-0.001549358,-0.00354139,99.76,100.98,99.06,0.01222935,-0.00701684,1610
